Jaar,LEEFTIJD,GESLACHT,vervoerwijze,vervoerwijzefilter,wegvak/kruispunt,wegbeheerder,wegnummer,HECTOMETER,STRAAT1,STRAAT2,STRAAT3,GEMEENTE,PROVINCIE,type locatie,X_COORD,Y_COORD,Lat,Lon
2006,60,M,Fiets,2,508539027,,,,Jan Salwaplein,Jan Salwaweg,Boven Westerdiep,Veendam,Groningen,W,254246,569673,53.10467213,6.869159527
2006,13,V,Personenauto,1,508554002,,,,Uiterburen,Haltepad,De Garsten,Menterwolde,Groningen,W,254450,577572,53.17559347,6.874639069
2006,13,V,Personenauto,1,508554002,,,,Uiterburen,Haltepad,De Garsten,Menterwolde,Groningen,W,254450,577572,53.17559347,6.874639069
2006,13,V,Personenauto,1,508554002,,,,Uiterburen,Haltepad,De Garsten,Menterwolde,Groningen,W,254450,577572,53.17559347,6.874639069
2006,76,V,Personenauto,1,510371028,,,,Bisschopstraat,Bisschopstraat,de Aanleg,Dinkelland,Overijssel,K,255030,485662,52.34974212,6.855377582
2006,81,M,Personenauto,1,510371028,,,,Bisschopstraat,Bisschopstraat,de Aanleg,Dinkelland,Overijssel,K,255030,485662,52.34974212,6.855377582
2006,83,M,Fiets,2,511347014,,,,Horstlindelaan,Horstlindelaan,Van Heeksbleeklaan,Enschede,Overijssel,K,255951,473662,52.24175047,6.86529929
2006,86,V,Fiets,2,513343074,,,,Minister Loudonlaan,Tubantiasingel,Tubantiasingel,Enschede,Overijssel,K,256926,471782,52.22467854,6.879004028
2006,20,V,Personenauto,1,513481017,,,,Weerdingerweg,Hoofdstraat,Dikbosstraat,Borger-Odoorn,Drenthe,W,257146,540272,52.84000048,6.903223507
2006,21,M,Personenauto,1,513481017,,,,Weerdingerweg,Hoofdstraat,Dikbosstraat,Borger-Odoorn,Drenthe,W,257146,540272,52.84000048,6.903223507
2006,32,V,Personenauto,1,513481017,,,,Weerdingerweg,Hoofdstraat,Dikbosstraat,Borger-Odoorn,Drenthe,W,257146,540272,52.84000048,6.903223507
2006,77,M,Snorfiets,5,514339006,,,,Burg M van Veenlaan,Bleekhofstraat,Zuiderstraat,Enschede,Overijssel,W,257092,470028,52.20888752,6.880904061
2006,83,M,Voetganger,3,516338045,,,,Knalhutteweg,Kuipersdijk,Tiemeister,Enschede,Overijssel,K,258046,469392,52.20299542,6.894663941
2006,61,V,Fiets,2,518343007,,,,Hoge Bothofstraat,Oliemolensingel,Oliemolensingel,Enschede,Overijssel,K,259039,471681,52.22337627,6.909888733
2006,92,M,Bromfiets,5,519352007,,,,Landweerweg,Oldenzaalsestraat,Oldenzaalsestraat,Enschede,Overijssel,K,259778,476084,52.262798,6.922064943
2006,74,V,Personenauto,1,520369006,,,,Molenweg,Oldenzaalsestraat,Oldenzaalsestraat,Dinkelland,Overijssel,K,260413,484967,52.34249081,6.93414095
2006,23,M,Personenauto,1,524530005,,,"0,9",Onstwedderweg,Onstwedderweg,BEUMEESWEG,Pekela,Groningen,W,262418,564616,53.05767293,6.989462332
2006,19,M,Personenauto,1,525449001,,,"1,2",Dordsedijk,Oude Dordsedijk,Veenhoeksweg,Emmen,Drenthe,W,262791,525000,52.70170417,6.981971147
2006,45,M,Motor,4,528542010,,,,Flessingsterrein,ZUIDERVEEN,ZUIDERVEEN,Pekela,Groningen,K,264455,571110,53.11559752,7.022031027
2006,9,M,Fiets,2,529488018,,,"1,5",Westerstraat,Westerstraat,Ter Apelervenen,Vlagtwedde,Groningen,W,266032,544246,52.87395152,7.036403213
2006,79,M,Fiets,2,529499029,,,,Aweg,Aweg,Havenkade,Stadskanaal,Groningen,K,264571,549941,52.92541023,7.016620323
2006,99,M,Personenauto,1,530362008,,,"17,6",RYKSWG,DE LUTTE 34,DE LUTTE 34,Losser,Overijssel,W,265404,481342,52.30894079,7.006168058
2006,33,M,Bromfiets,5,533487001,,,"3,3",GRENSSLOOT,Weerdingermarke,Heerenlandweg,Vlagtwedde,Groningen,W,266655,543482,52.86695994,7.045392513
2007,6,M,Voetganger,3,43186002,,,"11,1",Westkapelseweg,De Bucksweg,Melsesweg,Veere,Zeeland,W,21700,393018,51.51036428,3.466876462
2007,76,V,Fiets,2,50184005,,,,Kaasboerweg,Kaasboerweg,Zoutelandseweg,Veere,Zeeland,W,25266,392238,51.50418943,3.518510109
2007,39,M,Personenauto,1,59180003,,,"1,9",Koudekerkseweg,Middelburgsestraat,Koudekerkseweg,Middelburg,Zeeland,W,29653,390180,51.48669219,3.58240413
2007,44,V,Bestelauto,5,59180003,,,"1,8",Koudekerkseweg,Middelburgsestraat,Koudekerkseweg,Middelburg,Zeeland,W,29749,390217,51.48704599,3.583772545
2007,80,M,Fiets,2,62181123,,,,Nieuwe Vlissingseweg,Poelendaelesingel,Poelendaelesingel,Middelburg,Zeeland,K,31369,390904,51.49357672,3.606845769
2007,25,V,Fiets,2,63181020,,,,Schroeweg,Kanaalweg,Segeerssingel,Middelburg,Zeeland,W,31900,390881,51.49348639,3.61449703
2007,55,M,Personenauto,1,66177026,,,"28,0",Sloeweg Noord,Sloeweg Noord,RITTHEM,Vlissingen,Zeeland,W,35148,387976,51.46808463,3.662239339
2007,23,M,Motor,4,81170030,,,,Europaweg Oost,Europaweg Oost,Europaweg Oost,Borsele,Zeeland,K,40970,385313,51.44536397,3.746860844
2007,37,M,Bromfiets,5,85180001,,,,Postweg,Oude Zandweg,Vlaamseweg,Borsele,Zeeland,W,43227,390518,51.49258691,3.777662814
2007,66,V,Personenauto,1,86131006,,,,Zandstraat,BINNENPOLDERWEG,Trappistenstraat,Terneuzen,Zeeland,W,43767,365574,51.26855016,3.793284409
2007,71,M,Personenauto,1,88137001,,,"16,5",Westerscheldetunnelweg,Hoofdweg,Westerscheldetunnelweg,Terneuzen,Zeeland,W,44549,368849,51.29813216,3.803467837
2007,31,M,Personenauto,1,96125028,,,,Langeweg,Eversdam,Kinderdijk,Terneuzen,Zeeland,W,50264,363338,51.24969481,3.88701047
2007,23,M,Personenauto,1,99144001,,,,Reuzenhoeksedijk,Drieweg,Valweg,Terneuzen,Zeeland,W,50200,372044,51.32791723,3.883525173
2007,23,M,Personenauto,1,99144001,,,,Reuzenhoeksedijk,Drieweg,Valweg,Terneuzen,Zeeland,W,50200,372044,51.32791723,3.883525173
2007,21,M,Bromfiets,5,101171038,,,,Baarlandsezandweg,Baarlandsezandweg,Schoorkenszandweg,Borsele,Zeeland,K,50829,385966,51.45313953,3.888442756
